1191 1196 697 1517 1006 1844
1191 1197 709 1535 1037 1843
1191 1197 721 1552 1066 1840
1191 1197 734 1568 1096 1836
1191 1197 747 1584 1124 1831
1190 1197 760 1601 1151 1826
1190 1198 775 1617 1177 1820
1190 1198 791 1633 1203 1814
1189 1198 807 1648 1229 1808
1189 1199 825 1663 1255 1803
1189 1199 844 1677 1280 1796
1189 1199 864 1691 1304 1788
1189 1199 884 1703 1327 1781
1188 1199 903 1716 1351 1775
1188 1199 925 1727 1374 1767
1187 1199 946 1738 1398 1760
1186 1200 969 1748 1420 1753
1186 1200 993 1757 1445 1746
1186 1200 1017 1765 1468 1739
1186 1200 1042 1772 1492 1732
1186 1200 1067 1778 1515 1725
1186 1200 1093 1782 1540 1718
1186 1200 1119 1786 1564 1710
1185 1200 1145 1789 1589 1703
1185 1200 1172 1790 1614 1697
1185 1200 1200 1790 1639 1689
1185 1200 1227 1788 1666 1682
1185 1200 1254 1786 1692 1675
1186 1199 1282 1782 1719 1668
1186 1199 1310 1777 1747 1661
1187 1199 1338 1770 1774 1653
1187 1199 1366 1762 1802 1646
1187 1199 1393 1753 1830 1639
1188 1199 1421 1742 1858 1631
1188 1199 1448 1729 1887 1625
1188 1199 1475 1715 1915 1618
1189 1198 1501 1700 1943 1611
1189 1198 1527 1683 1970 1604
1190 1198 1551 1666 1998 1598
1190 1198 1576 1645 2024 1592
1190 1199 1600 1624 2050 1587
1191 1198 1622 1602 2072 1580
1191 1198 1644 1578 2095 1575
1191 1198 1664 1551 2115 1569
1191 1198 1683 1525 2132 1563
1191 1198 1701 1497 2147 1557
1191 1198 1717 1467 2159 1551
1191 1198 1731 1436 2169 1545
1191 1198 1744 1404 2175 1537
1191 1199 1755 1373 2177 1528
1191 1198 1764 1339 2177 1518
1191 1198 1772 1307 2174 1507
1191 1198 1777 1273 2168 1494
1191 1198 1780 1239 2160 1480
1191 1198 1780 1205 2149 1464
1191 1198 1780 1172 2137 1446
1190 1198 1777 1139 2122 1429
1190 1198 1773 1107 2107 1408
1190 1198 1766 1074 2091 1387
1190 1197 1757 1043 2075 1364
1189 1198 1748 1013 2057 1341
1189 1197 1737 983 2040 1317
1189 1197 1724 954 2022 1292
1188 1197 1709 926 2004 1268
1188 1197 1694 898 1987 1243
1187 1197 1677 872 1969 1217
1187 1197 1659 846 1952 1192
1186 1197 1640 823 1935 1166
1186 1197 1621 800 1919 1140
1186 1197 1600 778 1903 1113
1187 1196 1577 757 1887 1087
1187 1196 1555 738 1871 1060
1187 1196 1532 720 1856 1034
1187 1196 1507 703 1842 1008
1187 1196 1482 688 1826 982
1187 1196 1458 674 1812 955
1187 1195 1431 662 1798 928
1187 1195 1406 650 1783 900
1187 1195 1378 640 1768 873
1187 1196 1353 632 1753 844
1188 1195 1327 625 1737 815
1188 1195 1301 619 1721 786
1188 1195 1274 615 1704 757
1188 1195 1249 612 1686 727
1189 1195 1223 610 1668 697
1189 1195 1199 609 1648 667
1189 1196 1173 610 1626 636
1189 1196 1149 611 1603 605
1190 1196 1127 613 1578 575
1190 1196 1104 616 1551 544
1190 1196 1082 620 1522 514
1190 1196 1061 625 1491 484
1190 1197 1040 630 1458 455
1190 1197 1021 635 1423 428
1190 1197 1002 642 1384 402
1190 1198 983 648 1344 377
1189 1198 966 655 1302 354
1189 1198 949 663 1258 333
1189 1198 933 670 1211 314
1188 1199 919 677 1163 299
1188 1199 904 685 1114 285
1188 1199 891 692 1062 276
1187 1199 878 699 1010 269
1187 1199 867 707 957 267
1187 1199 855 714 904 267
1187 1199 845 721 850 273
1186 1199 835 729 798 281
1186 1199 826 735 745 295
1186 1199 818 742 694 311
1186 1199 810 749 644 333
1186 1199 802 755 596 357
1186 1199 795 761 551 386
1186 1198 788 767 508 418
1186 1198 781 773 468 454
1186 1198 775 779 431 493
1186 1198 769 785 399 535
1187 1197 762 792 370 579
1187 1197 757 798 345 624
1187 1197 751 804 325 672
1188 1196 745 812 308 720
1188 1196 741 818 297 770
1189 1196 735 824 289 820
1189 1196 730 831 285 869
1189 1196 724 838 284 918
1190 1196 719 847 288 967
1190 1196 713 854 296 1015
1190 1196 707 863 306 1061
1191 1196 702 872 320 1106
1191 1196 696 882 338 1150
1192 1195 690 892 357 1192
1192 1196 684 903 380 1231
1192 1196 678 913 404 1268
1192 1196 672 924 431 1302
1192 1196 667 936 460 1334
1192 1196 661 948 490 1363
1192 1196 655 961 522 1389
